"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"ElapsedTime"|"Min"|0.0|0.0|10,"Analog1"|"Volts"|0.0|5.0|100,"Analog3"|"Volts"|0.0|5.0|100,"Analog4"|"Volts"|0.0|5.0|50,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|100,"AccelY"|"G"|-3.0|3.0|100,"AccelZ"|"G"|-3.0|3.0|100,"Yaw"|"Deg/Sec"|-120|120|100,"Pitch"|"Deg/Sec"|-120|120|100,"Roll"|"Deg/Sec"|-120|120|100,"Gsum"|"G"|0.0|3.0|100,"GsumMax"|"G"|0.0|3.0|100,"GsumPct"|"%"|0|100|100,"EngineTemp"|"C"|0|300|1,"RPM"|""|0|10000|25,"TPS"|"%"|0|100|25,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"mi"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10,"LapDelta"|"s"|0.0|0.0|10,"BestLap"|"Min"|0.0|0.0|10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,0,0.0003,2.55,2.15,1.38,,0.06,0.08,-0.05,0,1,0,0.11,0.13,83,,0,0,,,,,,,,,,,,,,,,
381,0,0.0005,2.53,2.15,,,-0.03,0.03,-0.02,0,0,0,0.05,0.13,38,,,,,,,,,,,,,,,,,,,
391,0,0.0006,2.52,2.14,1.37,,-0.02,0.02,-0.05,0,0,0,0.06,0.13,49,,,,,,,,,,,,,,,,,,,
401,0,0.0008,2.51,2.15,,,0.01,0.02,-0.03,-0,0,0,0.04,0.13,27,,,,,,,,,,,,,,,,,,,
411,0,0.001,2.54,2.12,1.34,,0.03,0.01,0.03,-0,0,0,0.04,0.13,34,,0,0,,,,,,,,,,,,,,,,
421,0,0.0012,2.51,2.1,,,-0.0,-0.0,0.06,-0,-1,0,0.06,0.13,43,,,,,,,,,,,,,,,,,,,
431,0,0.0013,2.52,2.13,1.37,,-0.02,-0.0,0.03,-0,-1,0,0.03,0.13,26,,,,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0,0.0,0.0013,0.0,0.0
441,0,0.0015,2.54,2.15,,,0.02,-0.01,-0.02,-0,-1,0,0.03,0.13,25,,,,,,,,,,,,,,,,,,,
451,0,0.0016,2.53,2.14,1.34,,0.03,-0.02,0.02,-0,-1,0,0.04,0.13,35,,0,0,,,,,,,,,,,,,,,,
461,0,0.0018,2.54,2.15,,,-0.03,-0.02,0.02,-0,-1,-0,0.04,0.13,34,,,,,,,,,,,,,,,,,,,
471,0,0.002,2.55,2.12,1.35,,0.01,-0.03,0.03,-0,-1,-0,0.04,0.13,34,,,,,,,,,,,,,,,,,,,
481,0,0.0022,2.55,2.16,,,0.02,-0.02,-0.02,-0,-0,0,0.03,0.13,27,,,,,,,,,,,,,,,,,,,
491,0,0.0023,2.55,2.16,1.38,,0.02,-0.02,-0.01,-0,-0,0,0.03,0.13,26,,0,0,,,,,,,,,,,,,,,,
501,0,0.0025,2.55,2.15,,,0.0,-0.02,0.0,-0,-0,0,0.02,0.13,15,,,,,,,,,,,,,,,,,,,
511,0,0.0026,2.49,2.09,1.33,,0.04,-0.03,0.02,-0,0,0,0.05,0.13,40,,,,,,,,,,,,,,,,,,,
521,0,0.0028,2.53,2.12,,,0.04,-0.02,-0.0,-0,0,0,0.04,0.13,34,,,,,,,,,,,,,,,,,,,
531,0,0.003,2.52,2.15,1.37,,0.03,-0.03,-0.0,-0,-0,0,0.04,0.13,30,,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0,0.0,0.003,0.0,0.0
541,0,0.0032,2.52,2.12,,,0.02,-0.02,-0.01,-0,0,0,0.03,0.13,23,,,,,,,,,,,,,,,,,,,
551,0,0.0033,2.55,2.15,1.38,,0.03,-0.03,0.01,-0,-0,0,0.05,0.13,36,,,,,,,,,,,,,,,,,,,
561,0,0.0035,2.52,2.1,,,0.05,-0.03,-0.0,-0,-0,0,0.06,0.13,43,,,,,,,,,,,,,,,,,,,
571,0,0.0036,2.56,2.16,1.38,,0.03,-0.03,-0.01,-0,-0,0,0.04,0.13,35,,0,0,,,,,,,,,,,,,,,,
581,0,0.0038,2.56,2.16,,,0.01,-0.03,-0.02,-0,-0,0,0.04,0.13,30,,,,,,,,,,,,,,,,,,,
591,0,0.004,2.56,2.16,1.38,,0.04,-0.04,-0.02,-0,-0,0,0.06,0.13,46,,,,,,,,,,,,,,,,,,,
601,0,0.0042,2.54,2.16,,,0.04,-0.04,-0.02,-0,-0,0,0.06,0.13,44,,,,,,,,,,,,,,,,,,,
611,0,0.0043,2.55,2.15,1.37,,0.01,-0.04,-0.01,-0,-0,0,0.04,0.13,32,,0,0,,,,,,,,,,,,,,,,
621,0,0.0045,2.55,2.15,,,0.03,-0.04,-0.02,-0,-0,0,0.05,0.13,39,,,,,,,,,,,,,,,,,,,
631,0,0.0046,2.56,2.15,1.38,,0.03,-0.03,-0.02,-0,-0,0,0.05,0.13,41,,,,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0,0.0,0.0046,0.0,0.0
641,0,0.0048,2.53,2.14,,,0.04,-0.04,-0.01,-0,-0,0,0.05,0.13,41,,,,,,,,,,,,,,,,,,,
651,0,0.005,2.56,2.15,1.38,,0.03,-0.04,0.0,-0,-0,0,0.05,0.13,35,,0,0,,,,,,,,,,,,,,,,
661,0,0.0052,2.56,2.16,,,0.04,-0.04,-0.0,-0,-0,0,0.06,0.13,43,,,,,,,,,,,,,,,,,,,
671,0,0.0053,2.55,2.15,1.37,,0.05,-0.04,-0.02,-0,0,0,0.06,0.13,47,,,,,,,,,,,,,,,,,,,
681,0,0.0055,2.56,2.16,,,0.04,-0.04,-0.01,-0,-0,0,0.06,0.13,46,,,,,,,,,,,,,,,,,,,
691,0,0.0056,2.54,2.14,1.35,,0.02,-0.03,-0.01,-0,0,0,0.04,0.13,33,,0,0,,,,,,,,,,,,,,,,
701,0,0.0058,2.55,2.15,,,0.04,-0.04,-0.0,-0,0,0,0.05,0.13,43,,,,,,,,,,,,,,,,,,,
711,0,0.006,2.53,2.14,1.37,,0.05,-0.03,-0.03,-0,0,0,0.07,0.13,52,,,,,,,,,,,,,,,,,,,
721,0,0.0061,2.52,2.11,,,0.04,-0.03,-0.04,-0,0,0,0.06,0.13,49,,,,,,,,,,,,,,,,,,,
731,0,0.0063,2.52,2.14,1.37,,0.02,-0.04,-0.04,-0,0,0,0.06,0.13,45,,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0,0.0,0.0063,0.0,0.0
741,0,0.0065,2.54,2.15,,,0.04,-0.04,-0.04,-0,0,0,0.07,0.13,54,,,,,,,,,,,,,,,,,,,
751,0,0.0066,2.54,2.12,1.34,,0.05,-0.03,-0.03,0,0,0,0.07,0.13,52,,,,,,,,,,,,,,,,,,,
761,0,0.0068,2.51,2.11,,,0.03,-0.04,-0.03,0,0,0,0.05,0.13,42,,,,,,,,,,,,,,,,,,,
771,0,0.007,2.56,2.16,1.38,,0.04,-0.04,-0.04,0,0,0,0.07,0.13,51,,0,0,,,,,,,,,,,,,,,,
781,0,0.0072,2.54,2.14,,,0.04,-0.04,-0.03,-0,0,0,0.06,0.13,50,,,,,,,,,,,,,,,,,,,
791,0,0.0073,2.55,2.11,1.34,,0.05,-0.04,-0.01,-0,0,0,0.06,0.13,48,,,,,,,,,,,,,,,,,,,
801,0,0.0075,2.56,2.16,,,0.04,-0.04,0.01,0,-0,0,0.05,0.13,42,,,,,,,,,,,,,,,,,,,
811,0,0.0076,2.56,2.16,1.38,,0.04,-0.04,-0.0,-0,-0,0,0.06,0.13,45,,0,0,,,,,,,,,,,,,,,,
821,0,0.0078,2.56,2.15,,,0.05,-0.04,-0.03,-0,-0,0,0.07,0.13,54,,,,,,,,,,,,,,,,,,,
831,0,0.008,2.56,2.15,1.38,,0.05,-0.04,-0.01,-0,-0,0,0.07,0.13,52,,,,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0,0.0,0.008,0.0,0.0
841,0,0.0082,2.54,2.13,,,0.03,-0.04,-0.01,0,-0,0,0.05,0.13,38,,,,,,,,,,,,,,,,,,,
851,0,0.0083,2.52,2.13,1.36,,0.05,-0.04,-0.01,-0,-0,0,0.06,0.13,49,,0,0,,,,,,,,,,,,,,,,
861,0,0.0085,2.55,2.15,,,0.05,-0.03,-0.02,-0,0,0,0.06,0.13,50,,,,,,,,,,,,,,,,,,,
871,0,0.0086,2.54,2.15,1.38,,0.05,-0.03,-0.01,-0,0,0,0.06,0.13,45,,,,,,,,,,,,,,,,,,,
881,0,0.0088,2.56,2.15,,,0.03,-0.03,-0.01,-0,0,0,0.05,0.13,35,,,,,,,,,,,,,,,,,,,
891,0,0.009,2.55,2.16,1.38,,0.06,-0.04,-0.0,-0,0,0,0.07,0.13,52,,0,0,,,,,,,,,,,,,,,,
901,0,0.0092,2.55,2.15,,,0.05,-0.03,-0.0,-0,0,0,0.06,0.13,44,,,,,,,,,,,,,,,,,,,
911,0,0.0093,2.55,2.14,1.37,,0.04,-0.03,0.01,-0,0,0,0.05,0.13,41,,,,,,,,,,,,,,,,,,,
921,0,0.0095,2.54,2.14,,,0.04,-0.03,0.0,-0,0,0,0.05,0.13,40,,,,,,,,,,,,,,,,,,,
931,0,0.0096,2.55,2.15,1.38,,0.05,-0.04,0.0,-0,-0,0,0.06,0.13,47,,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0,0.0,0.0096,0.0,0.0
941,0,0.0098,2.56,2.16,,,0.06,-0.04,-0.0,-0,-0,0,0.07,0.13,53,,,,,,,,,,,,,,,,,,,
951,0,0.01,2.55,2.16,1.38,,0.04,-0.03,-0.0,-0,-0,0,0.06,0.13,43,,,,,,,,,,,,,,,,,,,
961,0,0.0102,2.55,2.14,,,0.04,-0.04,0.0,-0,-0,0,0.05,0.13,40,,,,,,,,,,,,,,,,,,,
971,0,0.0103,2.54,2.13,1.35,,0.05,-0.04,-0.01,-0,-0,0,0.07,0.13,52,,0,0,,,,,,,,,,,,,,,,
981,0,0.0105,2.54,2.14,,,0.06,-0.04,-0.01,-0,-0,0,0.07,0.13,56,,,,,,,,,,,,,,,,,,,
991,0,0.0106,2.55,2.16,1.38,,0.03,-0.04,-0.01,-0,-0,0,0.05,0.13,39,,,,,,,,,,,,,,,,,,,
1001,0,0.0108,2.56,2.16,,,0.05,-0.04,-0.01,-0,-0,0,0.06,0.13,50,,,,,,,,,,,,,,,,,,,
1011,0,0.011,2.55,2.16,1.38,,0.06,-0.04,-0.02,0,0,0,0.07,0.13,54,,0,0,,,,,,,,,,,,,,,,
1021,0,0.0112,2.56,2.16,,,0.06,-0.04,-0.01,0,0,0,0.07,0.13,53,,,,,,,,,,,,,,,,,,,
