"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"ElapsedTime"|"Min"|0.0|0.0|10,"Analog1"|"Volts"|0.0|5.0|100,"Analog3"|"Volts"|0.0|5.0|100,"Analog4"|"Volts"|0.0|5.0|50,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|100,"AccelY"|"G"|-3.0|3.0|100,"AccelZ"|"G"|-3.0|3.0|100,"Yaw"|"Deg/Sec"|-120|120|100,"Pitch"|"Deg/Sec"|-120|120|100,"Roll"|"Deg/Sec"|-120|120|100,"Gsum"|"G"|0.0|3.0|100,"GsumMax"|"G"|0.0|3.0|100,"GsumPct"|"%"|0|100|100,"EngineTemp"|"C"|0|300|1,"RPM"|""|0|10000|25,"TPS"|"%"|0|100|25,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"mi"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10,"LapDelta"|"s"|0.0|0.0|10,"BestLap"|"Min"|0.0|0.0|10
448,0,0.0018,2.55,2.16,1.46,,0.11,-0.02,-0.09,0,-0,0,0.14,0.39,36,,0,0,,,,,,,,,,,,,,,,
368,0,0.0004,2.56,2.15,1.44,,0.29,-0.04,0.04,0,-0,1,0.3,0.39,77,,0,0,,,,,,,,,,,,,,,,
378,0,0.0006,2.55,2.16,,,0.2,-0.01,-0.01,0,-1,0,0.2,0.39,52,,,,,,,,,,,,,,,,,,,
388,0,0.0008,2.58,2.18,1.47,,0.2,-0.05,-0.03,0,-0,1,0.21,0.39,53,,,,,,,,,,,,,,,,,,,
398,0,0.0009,2.59,2.18,,,0.23,-0.03,-0.07,0,-0,1,0.24,0.39,62,,,,,,,,,,,,,,,,,,,
408,0,0.0011,2.56,2.17,1.47,,0.18,-0.02,-0.05,0,-0,0,0.19,0.39,49,,0,0,,,,,,,,,,,,,,,,
418,0,0.0012,2.55,2.14,,,0.16,-0.02,0.0,0,-0,0,0.16,0.39,41,,,,,,,,,,,,,,,,,,,
428,0,0.0014,2.59,2.19,1.48,,0.15,-0.02,-0.04,0,-0,0,0.15,0.39,40,,,,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0,0.0,0.0014,0.0,0.0
438,0,0.0016,2.58,2.17,,,0.18,-0.03,-0.04,0,-0,0,0.19,0.39,49,,,,,,,,,,,,,,,,,,,
448,0,0.0018,2.55,2.16,1.46,,0.11,-0.02,-0.09,0,-0,0,0.14,0.39,36,,0,0,,,,,,,,,,,,,,,,
458,0,0.0019,2.58,2.19,,,0.13,-0.04,-0.04,0,-0,0,0.14,0.39,37,,,,,,,,,,,,,,,,,,,
468,0,0.0021,2.59,2.19,1.48,,0.14,-0.03,-0.05,0,-0,0,0.15,0.39,39,,,,,,,,,,,,,,,,,,,
478,0,0.0022,2.58,2.19,,,0.13,-0.03,-0.04,0,-0,0,0.14,0.39,36,,,,,,,,,,,,,,,,,,,
488,0,0.0024,2.58,2.19,1.48,,0.09,-0.03,-0.03,0,-0,0,0.1,0.39,27,,0,0,,,,,,,,,,,,,,,,
498,0,0.0026,2.52,2.15,,,0.1,-0.04,-0.05,0,0,0,0.12,0.39,32,,,,,,,,,,,,,,,,,,,
508,0,0.0028,2.59,2.19,1.48,,0.13,-0.04,-0.04,0,-0,0,0.14,0.39,36,,,,,,,,,,,,,,,,,,,
518,0,0.0029,2.59,2.18,,,0.08,-0.04,-0.06,0,0,0,0.1,0.39,27,,,,,,,,,,,,,,,,,,,
528,0,0.0031,2.59,2.19,1.48,,0.1,-0.05,-0.03,0,0,0,0.12,0.39,30,,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0,0.0,0.0031,0.0,0.0
538,0,0.0032,2.59,2.19,,,0.09,-0.04,-0.04,0,0,0,0.1,0.39,26,,,,,,,,,,,,,,,,,,,
548,0,0.0034,2.59,2.19,1.48,,0.1,-0.04,-0.02,0,-0,0,0.11,0.39,28,,,,,,,,,,,,,,,,,,,
558,0,0.0036,2.59,2.16,,,0.08,-0.04,-0.02,0,-0,0,0.09,0.39,22,,,,,,,,,,,,,,,,,,,
568,0,0.0038,2.56,2.18,1.47,,0.08,-0.05,-0.02,0,0,0,0.1,0.39,26,,0,0,,,,,,,,,,,,,,,,
578,0,0.0039,2.59,2.19,,,0.09,-0.04,-0.03,0,0,0,0.11,0.39,27,,,,,,,,,,,,,,,,,,,
588,0,0.0041,2.59,2.19,1.48,,0.07,-0.04,-0.02,0,0,0,0.09,0.39,22,,,,,,,,,,,,,,,,,,,
598,0,0.0043,2.59,2.19,,,0.08,-0.04,-0.01,0,0,0,0.09,0.39,24,,,,,,,,,,,,,,,,,,,
608,0,0.0044,2.57,2.19,1.48,,0.07,-0.04,-0.02,0,0,0,0.08,0.39,22,,0,0,,,,,,,,,,,,,,,,
618,0,0.0046,2.56,2.17,,,0.08,-0.05,-0.01,0,0,0,0.1,0.39,25,,,,,,,,,,,,,,,,,,,
628,0,0.0048,2.58,2.19,1.48,,0.07,-0.04,-0.02,0,-0,0,0.08,0.39,22,,,,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0,0.0,0.0048,0.0,0.0
638,0,0.0049,2.55,2.18,,,0.08,-0.04,-0.02,0,0,0,0.09,0.39,24,,,,,,,,,,,,,,,,,,,
648,0,0.0051,2.59,2.2,1.48,,0.07,-0.04,-0.03,0,0,0,0.08,0.39,22,,0,0,,,,,,,,,,,,,,,,
658,0,0.0052,2.56,2.17,,,0.08,-0.04,-0.01,0,-0,0,0.09,0.39,23,,,,,,,,,,,,,,,,,,,
668,0,0.0054,2.55,2.16,1.45,,0.06,-0.04,-0.02,0,-0,0,0.07,0.39,19,,,,,,,,,,,,,,,,,,,
678,0,0.0056,2.58,2.18,,,0.07,-0.05,-0.01,0,-0,0,0.08,0.39,22,,,,,,,,,,,,,,,,,,,
688,0,0.0058,2.59,2.19,1.47,,0.08,-0.04,-0.03,0,-0,0,0.09,0.39,24,,0,0,,,,,,,,,,,,,,,,
698,0,0.0059,2.55,2.18,,,0.07,-0.04,-0.03,0,-0,0,0.09,0.39,22,,,,,,,,,,,,,,,,,,,
708,0,0.0061,2.59,2.2,1.48,,0.06,-0.04,-0.01,0,-0,0,0.07,0.39,19,,,,,,,,,,,,,,,,,,,
718,0,0.0062,2.55,2.16,,,0.07,-0.04,-0.03,0,-0,0,0.08,0.39,22,,,,,,,,,,,,,,,,,,,
728,0,0.0064,2.58,2.19,1.48,,0.08,-0.04,-0.03,0,-0,0,0.1,0.39,25,,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0,0.0,0.0064,0.0,0.0
738,0,0.0066,2.52,2.11,,,0.05,-0.04,-0.05,0,-0,0,0.08,0.39,20,,,,,,,,,,,,,,,,,,,
748,0,0.0068,2.59,2.19,1.48,,0.07,-0.04,-0.03,0,-0,0,0.08,0.39,22,,,,,,,,,,,,,,,,,,,
758,0,0.0069,2.59,2.19,,,0.07,-0.04,-0.03,0,-0,0,0.08,0.39,21,,,,,,,,,,,,,,,,,,,
768,0,0.0071,2.59,2.19,1.48,,0.07,-0.04,-0.02,0,-0,0,0.09,0.39,22,,0,0,,,,,,,,,,,,,,,,
778,0,0.0072,2.58,2.19,,,0.05,-0.04,-0.02,0,-0,0,0.07,0.39,18,,,,,,,,,,,,,,,,,,,
788,0,0.0074,2.57,2.16,1.45,,0.07,-0.04,-0.01,0,-0,0,0.08,0.39,22,,,,,,,,,,,,,,,,,,,
798,0,0.0076,2.56,2.17,,,0.08,-0.04,-0.0,0,-0,0,0.09,0.39,22,,,,,,,,,,,,,,,,,,,
808,0,0.0078,2.57,2.18,1.47,,0.06,-0.04,-0.0,0,0,0,0.07,0.39,19,,0,0,,,,,,,,,,,,,,,,
818,0,0.0079,2.59,2.19,,,0.07,-0.05,-0.01,0,0,0,0.08,0.39,22,,,,,,,,,,,,,,,,,,,
828,0,0.0081,2.59,2.16,1.46,,0.06,-0.04,-0.02,0,0,0,0.07,0.39,19,,,,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0,0.0,0.0081,0.0,0.0
838,0,0.0082,2.59,2.19,,,0.07,-0.04,-0.0,0,0,0,0.08,0.39,22,,,,,,,,,,,,,,,,,,,
848,0,0.0084,2.58,2.19,1.48,,0.05,-0.04,0.0,0,0,0,0.07,0.39,17,,0,0,,,,,,,,,,,,,,,,
858,0,0.0086,2.58,2.18,,,0.07,-0.05,0.0,0,0,0,0.08,0.39,21,,,,,,,,,,,,,,,,,,,
868,0,0.0088,2.55,2.17,1.46,,0.06,-0.04,-0.01,0,-0,0,0.07,0.39,19,,,,,,,,,,,,,,,,,,,
878,0,0.0089,2.58,2.19,,,0.06,-0.04,0.01,0,-0,0,0.07,0.39,19,,,,,,,,,,,,,,,,,,,
888,0,0.0091,2.56,2.15,1.47,,0.06,-0.04,0.0,0,-0,0,0.07,0.39,18,,0,0,,,,,,,,,,,,,,,,
898,0,0.0092,2.58,2.18,,,0.06,-0.04,-0.0,0,-0,0,0.07,0.39,19,,,,,,,,,,,,,,,,,,,
908,0,0.0094,2.57,2.17,1.46,,0.08,-0.04,-0.02,0,-0,1,0.09,0.39,23,,,,,,,,,,,,,,,,,,,
918,0,0.0096,2.57,2.18,,,0.07,-0.03,-0.02,0,-0,0,0.08,0.39,20,,,,,,,,,,,,,,,,,,,
928,0,0.0098,2.59,2.18,1.48,,0.07,-0.03,0.0,0,-0,0,0.08,0.39,20,,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0,0.0,0.0098,0.0,0.0
938,0,0.0099,2.58,2.17,,,0.07,-0.03,-0.0,0,-0,0,0.07,0.39,19,,,,,,,,,,,,,,,,,,,
948,0,0.0101,2.58,2.19,1.48,,0.08,-0.04,0.01,0,-0,0,0.09,0.39,23,,,,,,,,,,,,,,,,,,,
958,0,0.0102,2.55,2.18,,,0.05,-0.03,-0.01,0,-0,0,0.06,0.39,16,,,,,,,,,,,,,,,,,,,
968,0,0.0104,2.58,2.18,1.48,,0.07,-0.04,-0.01,0,-0,0,0.08,0.39,20,,0,0,,,,,,,,,,,,,,,,
978,0,0.0106,2.55,2.16,,,0.07,-0.03,-0.01,0,-0,0,0.08,0.39,20,,,,,,,,,,,,,,,,,,,
988,0,0.0108,2.59,2.18,1.48,,0.07,-0.03,-0.0,0,-0,0,0.07,0.39,19,,,,,,,,,,,,,,,,,,,
998,0,0.0109,2.55,2.17,,,0.05,-0.03,0.0,0,-0,0,0.06,0.39,16,,,,,,,,,,,,,,,,,,,
1008,0,0.0111,2.58,2.19,1.48,,0.06,-0.04,-0.01,0,-0,0,0.07,0.39,18,,0,0,,,,,,,,,,,,,,,,
1018,0,0.0113,2.56,2.15,,,0.07,-0.04,-0.01,0,-0,0,0.08,0.39,21,,,,,,,,,,,,,,,,,,,
1028,0,0.0114,2.59,2.18,1.47,,0.04,-0.03,-0.02,0,-0,0,0.06,0.39,15,,,,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0,0.0,0.0114,0.0,0.0
1038,0,0.0116,2.55,2.18,,,0.06,-0.04,-0.01,0,-0,0,0.07,0.39,18,,,,,,,,,,,,,,,,,,,
1048,0,0.0117,2.59,2.19,1.48,,0.05,-0.03,-0.01,0,-0,0,0.06,0.39,15,,0,0,,,,,,,,,,,,,,,,
1058,0,0.0119,2.59,2.19,,,0.06,-0.04,0.01,-0,-0,0,0.07,0.39,18,,,,,,,,,,,,,,,,,,,
1068,0,0.0121,2.6,2.2,1.48,,0.04,-0.04,0.0,0,-0,0,0.06,0.39,14,,,,,,,,,,,,,,,,,,,
1078,0,0.0122,2.59,2.19,,,0.06,-0.04,-0.01,0,-0,0,0.07,0.39,19,,,,,,,,,,,,,,,,,,,
1088,0,0.0124,2.56,2.17,1.46,,0.06,-0.04,-0.0,0,-0,0,0.07,0.39,18,,0,0,,,,,,,,,,,,,,,,
1098,0,0.0126,2.55,2.18,,,0.04,-0.04,0.01,-0,-0,0,0.06,0.39,16,,,,,,,,,,,,,,,,,,,
1108,0,0.0128,2.57,2.18,1.47,,0.05,-0.04,0.01,0,-0,0,0.07,0.39,18,,,,,,,,,,,,,,,,,,,
1118,0,0.0129,2.56,2.18,,,0.04,-0.04,-0.0,0,-0,0,0.06,0.39,15,,,,,,,,,,,,,,,,,,,
1128,0,0.0131,2.56,2.16,1.45,,0.06,-0.04,0.01,0,-0,0,0.08,0.39,19,,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0,0.0,0.0131,0.0,0.0
1138,0,0.0132,2.57,2.18,,,0.04,-0.04,-0.0,0,-0,0,0.06,0.39,15,,,,,,,,,,,,,,,,,,,
1148,0,0.0134,2.59,2.19,1.48,,0.06,-0.04,0.0,0,0,1,0.07,0.39,19,,,,,,,,,,,,,,,,,,,
1158,0,0.0136,2.59,2.19,,,0.05,-0.04,-0.01,0,0,0,0.07,0.39,17,,,,,,,,,,,,,,,,,,,
1168,0,0.0138,2.59,2.19,1.48,,0.06,-0.04,0.01,0,-0,0,0.07,0.39,19,,0,0,,,,,,,,,,,,,,,,
1178,0,0.0139,2.59,2.19,,,0.05,-0.04,0.0,0,-0,1,0.06,0.39,16,,,,,,,,,,,,,,,,,,,
1188,0,0.0141,2.59,2.2,1.48,,0.05,-0.05,-0.01,0,0,1,0.07,0.39,18,,,,,,,,,,,,,,,,,,,
1198,0,0.0142,2.59,2.19,,,0.07,-0.04,-0.01,0,0,1,0.08,0.39,21,,,,,,,,,,,,,,,,,,,
1208,0,0.0144,2.59,2.2,1.48,,0.05,-0.04,-0.01,0,-0,0,0.07,0.39,18,,0,0,,,,,,,,,,,,,,,,
1218,0,0.0146,2.59,2.19,,,0.06,-0.04,-0.0,0,0,0,0.07,0.39,18,,,,,,,,,,,,,,,,,,,
