"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"ElapsedTime"|"Min"|0.0|0.0|10,"Analog1"|"Volts"|0.0|5.0|100,"Analog3"|"Volts"|0.0|5.0|100,"Analog4"|"Volts"|0.0|5.0|50,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|100,"AccelY"|"G"|-3.0|3.0|100,"AccelZ"|"G"|-3.0|3.0|100,"Yaw"|"Deg/Sec"|-120|120|100,"Pitch"|"Deg/Sec"|-120|120|100,"Roll"|"Deg/Sec"|-120|120|100,"Gsum"|"G"|0.0|3.0|100,"GsumMax"|"G"|0.0|3.0|100,"GsumPct"|"%"|0|100|100,"EngineTemp"|"C"|0|300|1,"RPM"|""|0|10000|25,"TPS"|"%"|0|100|25,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"mi"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10,"LapDelta"|"s"|0.0|0.0|10,"BestLap"|"Min"|0.0|0.0|10
385,0,0.0001,2.7,2.15,,,0.26,-0.07,0.1,-0,-1,0,0.29,0.29,100,,,,,,,,,,,,,,,,,,,
395,0,0.0003,2.69,2.14,1.43,,0.31,-0.11,0.16,-0,-1,0,0.36,0.36,100,,0,0,,,,,,,,,,,,,,,,
405,0,0.0004,2.69,2.14,,,0.22,-0.12,0.07,0,-1,0,0.26,0.36,72,,,,,,,,,,,,,,,,,,,
415,0,0.0006,2.69,2.14,1.42,,0.2,-0.1,0.06,0,-0,0,0.24,0.36,65,,,,,,,,,,,,,,,,,,,
425,0,0.0008,2.67,2.11,,,0.22,-0.1,0.05,0,-0,0,0.25,0.36,69,,,,,,,,,,,,,,,,,,,
435,0,0.001,2.69,2.13,1.41,,0.17,-0.1,0.02,0,-0,0,0.2,0.36,54,,0,0,,,,,,,,,,,,,,,,
445,0,0.0011,2.68,2.13,,,0.17,-0.09,0.06,0,-0,0,0.2,0.36,55,,,,,,,,,,,,,,,,,,,
455,0,0.0013,2.7,2.15,1.43,,0.14,-0.08,0.0,0,-0,0,0.16,0.36,43,,,,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0,0.0,0.0013,0.0,0.0
465,0,0.0014,2.69,2.14,,,0.15,-0.09,0.04,0,-0,0,0.18,0.36,49,,,,,,,,,,,,,,,,,,,
475,0,0.0016,2.68,2.12,1.4,,0.13,-0.11,-0.0,0,-0,0,0.16,0.36,45,,0,0,,,,,,,,,,,,,,,,
485,0,0.0018,2.7,2.14,,,0.11,-0.09,-0.0,0,-0,0,0.15,0.36,40,,,,,,,,,,,,,,,,,,,
495,0,0.002,2.69,2.15,1.43,,0.14,-0.1,0.02,0,-0,0,0.17,0.36,48,,,,,,,,,,,,,,,,,,,
505,0,0.0021,2.66,2.11,,,0.11,-0.1,0.0,0,-0,0,0.15,0.36,41,,,,,,,,,,,,,,,,,,,
515,0,0.0023,2.7,2.15,1.42,,0.12,-0.1,0.01,0,-0,0,0.15,0.36,42,,0,0,,,,,,,,,,,,,,,,
525,0,0.0024,2.66,2.04,,,0.1,-0.09,-0.02,0,-0,0,0.14,0.36,38,,,,,,,,,,,,,,,,,,,
