"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"ElapsedTime"|"Min"|0.0|0.0|10,"Analog1"|"Volts"|0.0|5.0|100,"Analog3"|"Volts"|0.0|5.0|100,"Analog4"|"Volts"|0.0|5.0|50,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|100,"AccelY"|"G"|-3.0|3.0|100,"AccelZ"|"G"|-3.0|3.0|100,"Yaw"|"Deg/Sec"|-120|120|100,"Pitch"|"Deg/Sec"|-120|120|100,"Roll"|"Deg/Sec"|-120|120|100,"Gsum"|"G"|0.0|3.0|100,"GsumMax"|"G"|0.0|3.0|100,"GsumPct"|"%"|0|100|100,"EngineTemp"|"C"|0|300|1,"RPM"|""|0|10000|25,"TPS"|"%"|0|100|25,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"mi"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10,"LapDelta"|"s"|0.0|0.0|10,"BestLap"|"Min"|0.0|0.0|10
364,0,0.0001,2.73,2.15,1.45,,-0.18,-0.14,-0.17,0,-0,0,0.28,0.28,100,,,,,,,,,,,,,,,,,,,
374,0,0.0002,2.72,2.15,,,-0.11,-0.14,-0.05,0,-0,0,0.18,0.28,65,,,,,,,,,,,,,,,,,,,
384,0,0.0004,2.72,2.15,1.45,,-0.15,-0.11,-0.02,0,-1,0,0.19,0.28,66,,0,0,,,,,,,,,,,,,,,,
394,0,0.0006,2.71,2.13,,,-0.05,-0.14,-0.06,0,-0,0,0.16,0.28,58,,,,,,,,,,,,,,,,,,,
404,0,0.0008,2.7,2.12,1.42,,-0.05,-0.1,-0.08,0,0,0,0.14,0.28,49,,,,,,,,,,,,,,,,,,,
414,0,0.0009,2.72,2.14,,,-0.05,-0.11,-0.01,0,-0,0,0.12,0.28,43,,,,,,,,,,,,,,,,,,,
424,0,0.0011,2.71,2.16,1.45,,-0.11,-0.09,-0.03,0,-0,0,0.14,0.28,50,,0,0,,,,,,,,,,,,,,,,
434,0,0.0012,2.72,2.16,,,-0.04,-0.1,-0.03,0,-0,0,0.11,0.28,40,,,,,,,,,,,,,,,,,,,
444,0,0.0014,2.7,2.14,1.45,,-0.03,-0.08,-0.06,0,-0,0,0.11,0.28,39,,,,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0,0.0,0.0014,0.0,0.0
454,0,0.0016,2.72,2.16,,,-0.03,-0.09,-0.02,0,-0,0,0.09,0.28,34,,,,,,,,,,,,,,,,,,,
464,0,0.0018,2.73,2.16,1.46,,-0.06,-0.08,-0.01,0,-0,0,0.1,0.28,36,,0,0,,,,,,,,,,,,,,,,
474,0,0.0019,2.72,2.15,,,-0.01,-0.1,-0.01,0,-0,0,0.1,0.28,36,,,,,,,,,,,,,,,,,,,
484,0,0.0021,2.72,2.16,1.43,,-0.01,-0.07,-0.02,0,-0,0,0.07,0.28,27,,,,,,,,,,,,,,,,,,,
494,0,0.0022,2.71,2.16,,,-0.03,-0.08,0.0,0,-0,0,0.09,0.28,31,,,,,,,,,,,,,,,,,,,
504,0,0.0024,2.7,2.13,1.42,,-0.03,-0.07,-0.01,0,-0,0,0.08,0.28,28,,0,0,,,,,,,,,,,,,,,,
514,0,0.0026,2.72,2.16,,,-0.01,-0.08,-0.01,0,-0,0,0.08,0.28,30,,,,,,,,,,,,,,,,,,,
524,0,0.0028,2.71,2.16,1.46,,0.0,-0.08,-0.03,0,-0,0,0.08,0.28,29,,,,,,,,,,,,,,,,,,,
534,0,0.0029,2.73,2.15,,,-0.01,-0.07,-0.04,0,-0,0,0.08,0.28,27,,,,,,,,,,,,,,,,,,,
544,0,0.0031,2.72,2.16,1.45,,-0.02,-0.06,-0.04,0,-0,0,0.08,0.28,29,,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0,0.0,0.0031,0.0,0.0
554,0,0.0032,2.69,2.14,,,0.01,-0.07,-0.06,0,0,0,0.1,0.28,35,,,,,,,,,,,,,,,,,,,
564,0,0.0034,2.73,2.16,1.46,,0.02,-0.06,-0.06,0,0,0,0.09,0.28,31,,,,,,,,,,,,,,,,,,,
574,0,0.0036,2.72,2.16,,,-0.01,-0.07,-0.04,0,0,0,0.08,0.28,28,,,,,,,,,,,,,,,,,,,
584,0,0.0038,2.69,2.14,1.44,,0.0,-0.06,-0.03,0,0,0,0.07,0.28,25,,0,0,,,,,,,,,,,,,,,,
594,0,0.0039,2.73,2.16,,,0.01,-0.07,-0.03,0,0,0,0.07,0.28,26,,,,,,,,,,,,,,,,,,,
604,0,0.0041,2.71,2.14,1.43,,0.02,-0.07,-0.02,0,0,0,0.07,0.28,27,,,,,,,,,,,,,,,,,,,
614,0,0.0043,2.73,2.16,,,0.01,-0.06,-0.02,0,-0,0,0.07,0.28,24,,,,,,,,,,,,,,,,,,,
